id,date,time,mode,rating
1,2021/04/07,10:41:02,en2cn,6
1,2021/04/07,10:41:03,cn2en,6
4,2021/04/07,22:08:34,cn2en,6
5,2021/04/07,22:08:37,cn2en,6
3,2021/04/07,22:08:41,en2cn,6
6,2021/04/07,22:08:46,en2cn,6
11,2021/04/07,22:08:49,en2cn,6
9,2021/04/07,22:08:52,en2cn,6
15,2021/04/07,22:08:53,cn2en,6
13,2021/04/07,22:08:57,en2cn,6
3,2021/04/07,22:09:02,cn2en,5
20,2021/04/07,22:09:09,cn2en,5
6,2021/04/07,22:09:11,cn2en,6
18,2021/04/07,22:09:15,en2cn,6
9,2021/04/07,22:09:17,cn2en,6
14,2021/04/07,22:09:23,en2cn,6
2,2021/04/07,22:09:34,en2cn,3
4,2021/04/07,22:09:36,en2cn,6
7,2021/04/07,22:09:43,en2cn,3
11,2021/04/07,22:09:46,cn2en,6
17,2021/04/07,22:09:49,cn2en,6
8,2021/04/07,22:09:55,cn2en,6
14,2021/04/07,22:09:59,cn2en,6
15,2021/04/07,22:10:01,en2cn,6
16,2021/04/07,22:10:03,en2cn,6
7,2021/04/07,22:10:07,cn2en,6
12,2021/04/07,22:10:09,en2cn,6
16,2021/04/07,22:10:11,cn2en,6
2,2021/04/07,22:10:13,cn2en,6
10,2021/04/07,22:10:24,cn2en,4
18,2021/04/07,22:10:27,cn2en,6
8,2021/04/07,22:11:05,en2cn,5
13,2021/04/07,22:11:08,cn2en,6
5,2021/04/07,22:11:10,en2cn,6
17,2021/04/07,22:11:13,en2cn,6
19,2021/04/07,22:11:17,en2cn,6
20,2021/04/07,22:11:19,en2cn,6
19,2021/04/07,22:11:22,cn2en,6
10,2021/04/07,22:11:24,en2cn,6
21,2021/04/07,22:11:27,cn2en,6
12,2021/04/07,22:11:28,cn2en,6
21,2021/04/07,22:11:30,en2cn,6
42,2021/04/07,22:11:48,en2cn,6
35,2021/04/07,22:12:02,cn2en,5
55,2021/04/07,22:12:23,en2cn,4
24,2021/04/07,22:12:58,cn2en,5
47,2021/04/07,22:13:02,en2cn,6
54,2021/04/07,22:13:12,en2cn,2
45,2021/04/07,22:13:15,cn2en,6
26,2021/04/07,22:13:17,cn2en,6
53,2021/04/07,22:13:40,en2cn,2
48,2021/04/07,22:13:43,en2cn,6
32,2021/04/07,22:13:44,en2cn,6
45,2021/04/07,22:13:46,en2cn,6
27,2021/04/07,22:13:48,cn2en,6
30,2021/04/07,22:13:50,en2cn,6
55,2021/04/07,22:14:05,cn2en,4
46,2021/04/07,22:14:07,cn2en,6
49,2021/04/07,22:14:11,cn2en,5
52,2021/04/07,22:14:13,en2cn,6
28,2021/04/07,22:14:15,cn2en,6
50,2021/04/07,22:14:27,cn2en,6
52,2021/04/07,22:14:29,cn2en,6
37,2021/04/07,22:14:33,en2cn,6
28,2021/04/07,22:14:35,en2cn,6
38,2021/04/07,22:15:24,en2cn,6
33,2021/04/07,22:15:51,cn2en,6
32,2021/04/07,22:15:52,cn2en,6
25,2021/04/07,22:15:53,cn2en,6
23,2021/04/07,22:15:58,en2cn,5
51,2021/04/07,22:17:12,cn2en,6
44,2021/04/07,22:17:24,cn2en,2
53,2021/04/07,22:17:46,cn2en,4
37,2021/04/07,22:17:48,cn2en,6
42,2021/04/07,22:17:51,cn2en,6
29,2021/04/07,22:17:53,en2cn,6
46,2021/04/07,22:17:57,en2cn,6
41,2021/04/07,22:18:00,cn2en,6
24,2021/04/07,22:18:03,en2cn,6
39,2021/04/07,22:18:05,en2cn,6
41,2021/04/07,22:18:08,en2cn,6
40,2021/04/07,22:18:11,cn2en,6
40,2021/04/07,22:18:13,en2cn,6
25,2021/04/07,22:18:16,en2cn,6
31,2021/04/07,22:18:19,en2cn,6
36,2021/04/07,22:18:22,en2cn,6
33,2021/04/07,22:18:24,en2cn,6
56,2021/04/07,22:18:26,cn2en,6
26,2021/04/07,22:18:27,en2cn,6
29,2021/04/07,22:18:29,cn2en,6
48,2021/04/07,22:18:30,cn2en,6
23,2021/04/07,22:18:34,cn2en,6
51,2021/04/07,22:18:39,en2cn,6
39,2021/04/07,22:18:40,cn2en,6
36,2021/04/07,22:18:41,cn2en,6
34,2021/04/07,22:18:43,en2cn,6
22,2021/04/07,22:18:47,cn2en,6
47,2021/04/07,22:18:50,cn2en,6
34,2021/04/07,22:18:51,cn2en,6
27,2021/04/07,22:18:52,en2cn,6
35,2021/04/07,22:19:03,en2cn,6
38,2021/04/07,22:19:04,cn2en,6
50,2021/04/07,22:19:06,en2cn,6
43,2021/04/07,22:20:05,en2cn,5
22,2021/04/07,22:20:08,en2cn,6
43,2021/04/07,22:20:12,cn2en,2
49,2021/04/07,22:20:14,en2cn,6
30,2021/04/07,22:20:16,cn2en,6
56,2021/04/07,22:20:19,en2cn,6
31,2021/04/07,22:20:23,cn2en,6
44,2021/04/07,22:20:29,en2cn,5
54,2021/04/07,22:20:37,cn2en,4
61,2021/04/08,21:46:57,en2cn,6
62,2021/04/08,21:47:01,cn2en,6
67,2021/04/08,21:47:05,cn2en,6
95,2021/04/08,21:47:08,en2cn,5
82,2021/04/08,21:47:10,en2cn,6
64,2021/04/08,21:47:21,cn2en,5
95,2021/04/08,21:47:24,cn2en,6
58,2021/04/08,21:47:27,cn2en,6
70,2021/04/08,21:47:41,cn2en,3
57,2021/04/08,21:47:45,en2cn,6
92,2021/04/08,21:47:49,cn2en,6
63,2021/04/08,21:48:00,cn2en,3
71,2021/04/08,21:48:04,en2cn,6
87,2021/04/08,21:48:10,en2cn,6
64,2021/04/08,21:48:14,en2cn,6
93,2021/04/08,21:48:17,en2cn,6
90,2021/04/08,21:48:20,en2cn,6
75,2021/04/08,21:48:23,cn2en,6
85,2021/04/08,21:48:43,en2cn,6
90,2021/04/08,21:48:46,cn2en,6
60,2021/04/08,21:48:48,cn2en,6
58,2021/04/08,21:48:51,en2cn,6
74,2021/04/08,21:48:54,cn2en,6
65,2021/04/08,21:48:57,en2cn,6
77,2021/04/08,21:49:00,cn2en,6
88,2021/04/08,21:49:14,cn2en,4
84,2021/04/08,21:49:17,cn2en,6
85,2021/04/08,21:49:19,cn2en,6
63,2021/04/08,21:49:26,en2cn,3
91,2021/04/08,21:49:35,en2cn,5
76,2021/04/08,21:49:43,cn2en,4
79,2021/04/08,21:49:49,en2cn,5
66,2021/04/08,21:49:53,cn2en,6
84,2021/04/08,21:49:56,en2cn,6
57,2021/04/08,21:50:00,cn2en,6
94,2021/04/08,21:50:11,en2cn,2
73,2021/04/08,21:50:25,en2cn,4
78,2021/04/08,21:50:30,en2cn,5
61,2021/04/08,21:50:34,cn2en,6
59,2021/04/08,21:50:38,en2cn,6
94,2021/04/08,21:50:42,cn2en,6
71,2021/04/08,21:50:46,cn2en,6
69,2021/04/08,21:50:49,cn2en,6
62,2021/04/08,21:50:52,en2cn,6
78,2021/04/08,21:50:55,cn2en,6
79,2021/04/08,21:50:58,cn2en,6
73,2021/04/08,21:51:02,cn2en,4
81,2021/04/08,21:51:05,cn2en,6
67,2021/04/08,21:51:08,en2cn,6
92,2021/04/08,21:51:13,en2cn,6
93,2021/04/08,21:51:16,cn2en,6
86,2021/04/08,21:51:18,cn2en,6
68,2021/04/08,21:51:22,cn2en,6
80,2021/04/08,21:51:24,cn2en,6
68,2021/04/08,21:51:28,en2cn,6
91,2021/04/08,21:51:31,cn2en,6
59,2021/04/08,21:51:34,cn2en,6
81,2021/04/08,21:51:36,en2cn,6
70,2021/04/08,21:51:40,en2cn,6
76,2021/04/08,21:51:45,en2cn,6
66,2021/04/08,21:51:47,en2cn,6
89,2021/04/08,21:51:51,en2cn,6
83,2021/04/08,21:51:53,cn2en,6
80,2021/04/08,21:51:56,en2cn,6
77,2021/04/08,21:52:00,en2cn,6
65,2021/04/08,21:52:03,cn2en,6
88,2021/04/08,21:52:12,en2cn,6
72,2021/04/08,21:52:14,en2cn,6
83,2021/04/08,21:52:18,en2cn,6
75,2021/04/08,21:52:21,en2cn,6
82,2021/04/08,21:52:23,cn2en,6
60,2021/04/08,21:52:26,en2cn,6
69,2021/04/08,21:52:31,en2cn,6
87,2021/04/08,21:52:35,cn2en,6
86,2021/04/08,21:52:37,en2cn,6
72,2021/04/08,21:52:39,cn2en,6
74,2021/04/08,21:52:42,en2cn,6
89,2021/04/08,21:52:44,cn2en,6
120,2021/04/21,21:09:22,cn2en,6
111,2021/04/21,21:09:26,cn2en,6
109,2021/04/21,21:09:30,en2cn,6
105,2021/04/21,21:09:40,en2cn,4
98,2021/04/21,21:09:49,en2cn,5
114,2021/04/21,21:10:01,en2cn,4
121,2021/04/21,21:10:06,cn2en,5
110,2021/04/21,21:10:10,cn2en,6
111,2021/04/21,21:10:15,en2cn,6
101,2021/04/21,21:10:18,cn2en,6
110,2021/04/21,21:10:22,en2cn,6
124,2021/04/21,21:10:25,cn2en,6
118,2021/04/21,21:10:34,en2cn,4
108,2021/04/21,21:10:38,cn2en,6
113,2021/04/21,21:10:53,en2cn,5
125,2021/04/21,21:10:57,cn2en,6
121,2021/04/21,21:11:00,en2cn,6
116,2021/04/21,21:11:05,cn2en,5
123,2021/04/21,21:11:10,en2cn,6
102,2021/04/21,21:11:27,cn2en,1
117,2021/04/21,21:11:31,cn2en,6
112,2021/04/21,21:11:36,en2cn,6
106,2021/04/21,21:11:41,cn2en,6
97,2021/04/21,21:12:13,en2cn,6
100,2021/04/21,21:12:17,cn2en,6
98,2021/04/21,21:12:21,cn2en,5
123,2021/04/21,21:12:24,cn2en,6
99,2021/04/21,21:12:59,en2cn,6
