id,mode,firstReviewDate,lastReviewDate,rating,previousRating,repetitionNumber,nTimesSeen,nTimesWrong,nTimesCorrect,nTimesBad,nTimesMedium,nTimesGood
1,en2cn,2021/04/07,2021/04/07,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
1,cn2en,2021/04/07,2021/04/07,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
4,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
5,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
3,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
6,en2cn,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
11,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
9,en2cn,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
15,cn2en,2021/04/07,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
13,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
3,cn2en,2021/04/07,2021/10/22,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
20,cn2en,2021/04/07,2021/04/07,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
18,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
9,cn2en,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
14,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
2,en2cn,2021/04/07,2021/04/07,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
7,en2cn,2021/04/07,2021/04/07,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
11,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
17,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
8,cn2en,2021/04/07,2021/10/17,4.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
